,class_prob,class_pred,class_true
0,0.11172373592853546,0,0
1,0.4175068736076355,0,1
2,0.11994810402393341,0,0
3,0.19027599692344666,0,1
4,0.1195545643568039,0,0
5,0.039009492844343185,0,1
6,0.06294259428977966,0,0
7,0.0791020542383194,0,0
8,0.10974204540252686,0,0
9,0.06241748109459877,0,1
10,0.09089206904172897,0,0
11,0.2796418368816376,0,1
12,0.049959760159254074,0,0
13,0.09056273102760315,0,0
14,0.508750855922699,1,1
15,0.16074278950691223,0,0
16,0.2694724500179291,0,1
17,0.41831666231155396,0,1
18,0.4490419328212738,0,1
19,0.22015610337257385,0,0
20,0.5582327842712402,1,1
21,0.15091298520565033,0,0
22,0.2823472321033478,0,1
23,0.5923559069633484,1,1
24,0.1027039885520935,0,0
25,0.22450371086597443,0,1
26,0.08758906275033951,0,0
27,0.242898091673851,0,0
28,0.138936847448349,0,1
29,0.012669261544942856,0,0
30,0.08034311234951019,0,1
31,0.03990167751908302,0,0
32,0.021931039169430733,0,0
33,0.2096070647239685,0,0
34,0.08712219446897507,0,0
35,0.37218475341796875,0,1
36,0.07069403678178787,0,0
37,0.04566394165158272,0,0
38,0.7130860090255737,1,1
39,0.2783960998058319,0,0
40,0.5354390740394592,1,1
41,0.07507587969303131,0,0
42,0.0925622209906578,0,1
43,0.12068922817707062,0,0
44,0.18720701336860657,0,1
45,0.028057532384991646,0,0
46,0.4715941846370697,0,1
47,0.07308605313301086,0,0
48,0.13092365860939026,0,1
49,0.21116799116134644,0,1
50,0.0441998690366745,0,0
51,0.3807137906551361,0,1
52,0.05671316757798195,0,0
53,0.06563633680343628,0,0
54,0.08830089867115021,0,0
55,0.14719320833683014,0,1
56,0.15759287774562836,0,0
57,0.30578747391700745,0,1
58,0.29190462827682495,0,0
59,0.5159951448440552,1,1
60,0.06032627448439598,0,0
61,0.09697595983743668,0,0
62,0.06502410769462585,0,0
63,0.11466889828443527,0,0
64,0.49717822670936584,0,1
65,0.0891445055603981,0,0
66,0.2203274518251419,0,1
67,0.05062241107225418,0,0
68,0.1984413117170334,0,0
69,0.709847092628479,1,1
70,0.16526973247528076,0,0
71,0.6626499891281128,1,1
72,0.04095689207315445,0,1
73,0.07056378573179245,0,0
74,0.2006845772266388,0,1
75,0.08012878894805908,0,0
76,0.038695670664310455,0,0
77,0.05575017258524895,0,0
78,0.2429574728012085,0,0
79,0.18400517106056213,0,1
80,0.15308263897895813,0,1
81,0.12306282669305801,0,0
82,0.28155142068862915,0,1
83,0.04448790103197098,0,0
84,0.08818672597408295,0,0
85,0.013514891266822815,0,0
86,0.23423367738723755,0,0
87,0.4851394295692444,0,1
88,0.2333303838968277,0,0
89,0.1386149823665619,0,1
90,0.1306447833776474,0,0
91,0.5824833512306213,1,1
92,0.15819993615150452,0,0
93,0.6999149322509766,1,1
94,0.15526561439037323,0,1
95,0.4175263047218323,0,1
96,0.04332751780748367,0,0
97,0.33224570751190186,0,1
98,0.036195602267980576,0,0
99,0.2348557561635971,0,1
100,0.0687176063656807,0,0
101,0.31071949005126953,0,1
102,0.060825929045677185,0,0
103,0.06669513881206512,0,1
104,0.11462388932704926,0,0
105,0.18474924564361572,0,0
106,0.22808672487735748,0,0
107,0.15631599724292755,0,0
108,0.3876212239265442,0,0
109,0.06164637580513954,0,0
110,0.746091365814209,1,1
111,0.0350983664393425,0,0
112,0.20869113504886627,0,1
113,0.0508335679769516,0,0
114,0.11960973590612411,0,0
115,0.1959644854068756,0,0
116,0.027801720425486565,0,0
117,0.044363800436258316,0,0
118,0.06755990535020828,0,1
119,0.11631385236978531,0,1
120,0.19918476045131683,0,0
121,0.16504931449890137,0,0
122,0.07408852875232697,0,0
123,0.12319100648164749,0,1
124,0.09625949710607529,0,0
125,0.07032894343137741,0,0
126,0.1025066077709198,0,0
127,0.041105717420578,0,0
128,0.24182015657424927,0,1
129,0.3988344073295593,0,1
130,0.12771505117416382,0,1
131,0.1884005069732666,0,0
132,0.42966023087501526,0,1
133,0.35274139046669006,0,0
134,0.581649899482727,1,1
135,0.09340561181306839,0,1
136,0.17579028010368347,0,1
137,0.1073307916522026,0,0
138,0.22375616431236267,0,0
139,0.13681460916996002,0,0
140,0.4055000841617584,0,1
141,0.2831067740917206,0,0
142,0.2206108570098877,0,0
143,0.250458687543869,0,0
144,0.11169565469026566,0,0
145,0.3361246585845947,0,1
146,0.07385159283876419,0,0
147,0.37248411774635315,0,0
148,0.24573461711406708,0,1
149,0.2571174204349518,0,0
150,0.45880675315856934,0,0
151,0.1340762823820114,0,0
152,0.11643766611814499,0,0
153,0.12426774948835373,0,1
154,0.3556944727897644,0,0
155,0.17594093084335327,0,0
156,0.315870076417923,0,1
157,0.13732865452766418,0,0
158,0.5009746551513672,1,1
159,0.21142606437206268,0,0
160,0.15745866298675537,0,0
161,0.15026310086250305,0,0
162,0.3744615912437439,0,1
163,0.13543157279491425,0,0
164,0.2614190876483917,0,0
165,0.2746634781360626,0,1
166,0.05353235453367233,0,0
167,0.16012082993984222,0,1
168,0.1266973912715912,0,0
169,0.32066577672958374,0,0
170,0.11717331409454346,0,0
171,0.10892198979854584,0,0
172,0.22029058635234833,0,0
173,0.1169188842177391,0,0
174,0.4197663366794586,0,1
175,0.30392783880233765,0,1
176,0.29697185754776,0,0
177,0.3524521291255951,0,0
178,0.5387617945671082,1,1
179,0.09450222551822662,0,0
180,0.07318798452615738,0,0
181,0.10528285056352615,0,0
182,0.11751028150320053,0,0
183,0.3748740255832672,0,0
184,0.08982658386230469,0,0
185,0.7290966510772705,1,1
186,0.32395514845848083,0,0
187,0.5297609567642212,1,1
188,0.12029387801885605,0,0
189,0.06931246072053909,0,0
