"Categoria criminologa","Sottocategoria Criminologica","Circoscrizione","Localita","Area Verde","Data","Ora"
"Allarme Sociale","Altro",6,"AEROPORTO/(STRADA DELL')                                              ",,"02/01/2016",
"Allarme Sociale","Altro",8,"MADAMA CRISTINA/(PIAZZA)                                              ",,"13/01/2016",
"Allarme Sociale","Altro",2,"RENI/GUIDO (VIA)                                                      ",,"15/01/2016",
"Allarme Sociale","Altro",2,"TRIPOLI/(VIA)                                                         ",,"27/01/2016",
"Allarme Sociale","Altro",7,"S. GIULIA/(PIAZZA)                                                    ",,"03/02/2016","18.45"
"Allarme Sociale","Altro",4,"PIANEZZA/(VIA)                                                        ",,"04/02/2016",
"Allarme Sociale","Altro",6,"BARBANIA/(VIA)                                                        ",,"09/02/2016",
"Allarme Sociale","Altro",2,"SIRACUSA/(CORSO)                                                      ",,"11/02/2016",
"Allarme Sociale","Altro",1,"MATTEOTTI/GIACOMO (CORSO)                                             ",,"16/02/2016",
"Allarme Sociale","Altro",4,"TASSONI/ALESSANDRO (CORSO)                                            ",,"17/02/2016",
"Allarme Sociale","Altro",10,"TONALE/(VIA)                                                          ",,"17/02/2016","09.52"
"Allarme Sociale","Altro",2,"OGLIARO/ALFONSO (VIA)                                                 ",,"22/02/2016","18.52"
"Allarme Sociale","Altro",,,,"02/03/2016",
"Allarme Sociale","Altro",8,"S. ANSELMO/(VIA)                                                      ",,"03/03/2016",
"Allarme Sociale","Altro",,,,"07/03/2016",
"Allarme Sociale","Altro",1,"FERRARIS/GALILEO (CORSO)                                              ",,"07/03/2016",
"Allarme Sociale","Altro",1,"MILLE/(VIA DEI)                                                       ",,"08/03/2016","09.07"
"Allarme Sociale","Altro",8,"NIZZA/(VIA)                                                           ",,"10/03/2016","08.56"
"Allarme Sociale","Altro",4,"FRANCIA/(CORSO)                                                       ",,"17/03/2016",
"Allarme Sociale","Altro",4,"MACERATA/(VIA)                                                        ","Area Verde","22/03/2016",
"Allarme Sociale","Altro",5,"OGLIANICO/(VIA)                                                       ",,"23/03/2016",
"Allarme Sociale","Altro",7,"NAPOLI/(LUNGO DORA)                                                   ",,"23/03/2016",
"Allarme Sociale","Altro",7,"S. SIMONE/(VIA)                                                       ",,"29/03/2016",
"Allarme Sociale","Altro",1,"REGINA MARGHERITA/(CORSO)                                             ",,"12/04/2016",
"Allarme Sociale","Altro",7,"NAPOLI/(LUNGO DORA)                                                   ",,"13/04/2016",
"Allarme Sociale","Altro",3,"OSASCO/(VIA)                                                          ",,"20/04/2016",
"Allarme Sociale","Altro",4,"ZUMAGLIA/(VIA)                                                        ","Area Verde","20/04/2016",
"Allarme Sociale","Altro",3,"ROCCAFORTE/(VIA)                                                      ",,"21/04/2016",
"Allarme Sociale","Altro",4,"PIANEZZA/(VIA)                                                        ","Area Verde","02/05/2016","10.00"
"Allarme Sociale","Altro",,,"Area Verde","03/05/2016",
"Allarme Sociale","Altro",7,"NAPOLI/(LUNGO DORA)                                                   ",,"05/05/2016",
"Allarme Sociale","Altro",3,"FREJUS/(VIA)                                                          ",,"16/05/2016",
"Allarme Sociale","Altro",5,"PARIS/ANDREA (VIA)                                                    ",,"16/05/2016",
"Allarme Sociale","Altro",6,"VIGEVANO/(CORSO)                                                      ",,"16/05/2016",
"Allarme Sociale","Altro",6,"BARBERINA/(STRADA DELLA)                                              ",,"27/05/2016",
"Allarme Sociale","Altro",8,"MADAMA CRISTINA/(PIAZZA)                                              ",,"30/05/2016",
"Allarme Sociale","Altro",6,"SANTHIA'/(VIA)                                                        ",,"06/06/2016",
"Allarme Sociale","Altro",6,"MONTANARO/(VIA)                                                       ","Area Verde","08/06/2016",
"Allarme Sociale","Altro",7,"REGIO PARCO/(CORSO)                                                   ","Area Verde","20/06/2016","10.22"
"Allarme Sociale","Altro",4,"FRANCIA/(CORSO)                                                       ",,"23/06/2016",
"Allarme Sociale","Altro",7,"VERCELLI/(CORSO)                                                      ",,"30/06/2016",
"Allarme Sociale","Atti di vandalismo",7,"CECCHI/ANTONIO (VIA)                                                  ",,"05/02/2016","12.51"
"Allarme Sociale","Atti di vandalismo",4,"SVIZZERA/(CORSO)                                                      ",,"07/03/2016",
"Allarme Sociale","Atti di vandalismo",7,"ALESSANDRIA/(VIA)                                                     ",,"15/03/2016",
"Allarme Sociale","Atti di vandalismo",7,"REGINA MARGHERITA/(CORSO)                                             ",,"14/04/2016",
"Allarme Sociale","Atti di vandalismo",7,"CIRIE'/(CORSO)                                                        ",,"23/05/2016",
"Allarme Sociale","Atti di vandalismo",7,"BELGIO/(CORSO)                                                        ",,"08/06/2016",
"Allarme Sociale","Atti di vandalismo",2,"RENI/GUIDO (VIA)                                                      ",,"13/06/2016","09.05"
"Convivenza Civile","Aggregazioni giovanili",3,"OZIERI/(VIA)                                                          ",,"05/01/2016",
"Convivenza Civile","Aggregazioni giovanili",5,"VAL DELLA TORRE/(VIA)                                                 ","Area Verde","01/02/2016",
"Convivenza Civile","Aggregazioni giovanili",3,"CARSO/(VIA)                                                           ","Area Verde","08/02/2016",
"Convivenza Civile","Aggregazioni giovanili",3,"OZIERI/(VIA)                                                          ","Area Verde","01/03/2016",
"Convivenza Civile","Aggregazioni giovanili",4,"CEVA/(VIA)                                                            ",,"04/04/2016",
"Convivenza Civile","Aggregazioni giovanili",3,"MEDITERRANEO/(CORSO)                                                  ",,"17/06/2016",
"Convivenza Civile","Aggregazioni giovanili",6,"ALFANO/FRANCO (VIA)                                                   ",,"17/06/2016",
"Convivenza Civile","Aggregazioni giovanili",6,"VALPRATO/(VIA)                                                        ","Area Verde","22/06/2016",
"Convivenza Civile","Aggregazioni giovanili",6,"RONDISSONE/(VIA)                                                      ",,"23/06/2016",
