Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
53,Round of 16,02/07/2018 17:00,Samara Stadium,Brazil,Mexico,,2 - 0
54,Round of 16,02/07/2018 21:00,Rostov-on-Don Stadium,Belgium,Japan,,3 - 2
55,Round of 16,03/07/2018 17:00,Saint Petersburg Stadium,Sweden,Switzerland,,1 - 0
56,Round of 16,03/07/2018 21:00,"Otkrytiye Arena, Moscow",Colombia,England,,1 - 1
57,Quarter Finals,06/07/2018 17:00,Nizhny Novgorod Stadium,Uruguay,France,,0 - 2
58,Quarter Finals,06/07/2018 21:00,Kazan Arena,Brazil,Belgium,,1 - 2
59,Quarter Finals,07/07/2018 17:00,Samara Stadium,Sweden,England,,0 - 2
60,Quarter Finals,07/07/2018 21:00,"Fisht Stadium, Sochi",Russia,Croatia,,2 - 2
61,Semi Finals,10/07/2018 21:00,Saint Petersburg Stadium,France,Belgium,,1 - 0
62,Semi Finals,11/07/2018 21:00,"Luzhniki Stadium, Moscow",England,Croatia,,1 - 2
63,Finals,14/07/2018 17:00,Saint Petersburg Stadium,Belgium,England,,2 - 0
64,Finals,15/07/2018 18:00,"Luzhniki Stadium, Moscow",France,Croatia,,4 - 2
