cluster;data_da;data_a;numero_presenze;layer_id;layer_nome;dettaglio(secondi)
Presenze;2018-01-21T22:00:00Z;2018-01-21T23:00:00Z;3026;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T21:00:00Z;2018-01-21T22:00:00Z;3088;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T20:00:00Z;2018-01-21T21:00:00Z;3119;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T19:00:00Z;2018-01-21T20:00:00Z;3114;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T18:00:00Z;2018-01-21T19:00:00Z;2991;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T17:00:00Z;2018-01-21T18:00:00Z;2896;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T16:00:00Z;2018-01-21T17:00:00Z;2762;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T15:00:00Z;2018-01-21T16:00:00Z;2693;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T14:00:00Z;2018-01-21T15:00:00Z;2684;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T13:00:00Z;2018-01-21T14:00:00Z;2731;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T12:00:00Z;2018-01-21T13:00:00Z;2714;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T11:00:00Z;2018-01-21T12:00:00Z;2672;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T10:00:00Z;2018-01-21T11:00:00Z;2696;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T09:00:00Z;2018-01-21T10:00:00Z;2764;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T08:00:00Z;2018-01-21T09:00:00Z;2748;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T07:00:00Z;2018-01-21T08:00:00Z;2782;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T06:00:00Z;2018-01-21T07:00:00Z;2810;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T05:00:00Z;2018-01-21T06:00:00Z;2828;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T04:00:00Z;2018-01-21T05:00:00Z;2879;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T03:00:00Z;2018-01-21T04:00:00Z;2927;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T02:00:00Z;2018-01-21T03:00:00Z;3075;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T01:00:00Z;2018-01-21T02:00:00Z;3361;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-21T00:00:00Z;2018-01-21T01:00:00Z;3726;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T23:00:00Z;2018-01-21T00:00:00Z;4033;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T22:00:00Z;2018-01-20T23:00:00Z;4101;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T21:00:00Z;2018-01-20T22:00:00Z;3701;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T20:00:00Z;2018-01-20T21:00:00Z;3449;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T19:00:00Z;2018-01-20T20:00:00Z;3277;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T18:00:00Z;2018-01-20T19:00:00Z;3030;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T17:00:00Z;2018-01-20T18:00:00Z;2951;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T16:00:00Z;2018-01-20T17:00:00Z;2920;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T15:00:00Z;2018-01-20T16:00:00Z;2836;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T14:00:00Z;2018-01-20T15:00:00Z;2828;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T13:00:00Z;2018-01-20T14:00:00Z;2837;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T12:00:00Z;2018-01-20T13:00:00Z;2865;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T11:00:00Z;2018-01-20T12:00:00Z;2885;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T10:00:00Z;2018-01-20T11:00:00Z;2882;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T09:00:00Z;2018-01-20T10:00:00Z;2886;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T08:00:00Z;2018-01-20T09:00:00Z;2876;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T07:00:00Z;2018-01-20T08:00:00Z;2875;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T06:00:00Z;2018-01-20T07:00:00Z;2908;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T05:00:00Z;2018-01-20T06:00:00Z;2950;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T04:00:00Z;2018-01-20T05:00:00Z;3013;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T03:00:00Z;2018-01-20T04:00:00Z;3093;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T02:00:00Z;2018-01-20T03:00:00Z;3246;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T01:00:00Z;2018-01-20T02:00:00Z;3497;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-20T00:00:00Z;2018-01-20T01:00:00Z;3766;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T23:00:00Z;2018-01-20T00:00:00Z;3933;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T22:00:00Z;2018-01-19T23:00:00Z;3857;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T21:00:00Z;2018-01-19T22:00:00Z;3620;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T20:00:00Z;2018-01-19T21:00:00Z;3496;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T19:00:00Z;2018-01-19T20:00:00Z;3362;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T18:00:00Z;2018-01-19T19:00:00Z;3248;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T17:00:00Z;2018-01-19T18:00:00Z;3197;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T16:00:00Z;2018-01-19T17:00:00Z;3211;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T15:00:00Z;2018-01-19T16:00:00Z;3147;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T14:00:00Z;2018-01-19T15:00:00Z;3187;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T13:00:00Z;2018-01-19T14:00:00Z;3225;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T12:00:00Z;2018-01-19T13:00:00Z;3283;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T11:00:00Z;2018-01-19T12:00:00Z;3259;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T10:00:00Z;2018-01-19T11:00:00Z;3229;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2018-01-19T09:00:00Z;2018-01-19T10:00:00Z;3184;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
