linkid,Region_of_Origin,District_of_Origin,County_of_Origin,Average_Daily_SeniorPopulation_Travelling,key_bus_road,distance_bus_road,key_cascais,distance_cascais,key_metro,distance_metro,key_train,distance_train,key_oeiras,distance_oeiras,linkid_county
537299488,R1 - AM Lisboa,Lisboa,Oeiras,288.942825,537321129,18.276299935916608,101804,1.5434533651657487,Carnide,23.78163997727919,cascais,4.3747408315576735,889,11.662117673763683,Cascais
537299491,R1 - AM Lisboa,Lisboa,Oeiras,128.419033,537321129,18.261035548905348,101804,1.5126579789753865,Carnide,23.756735262287712,cascais,4.376320528764958,889,11.651723439668439,Cascais
537299496,R1 - AM Lisboa,Lisboa,Oeiras,532.938989,537321129,18.22203565164353,101806,1.511296988937474,Carnide,23.754422404501252,cascais,4.2881322652258245,889,11.59684848498635,Cascais
537299518,R1 - AM Lisboa,Lisboa,Oeiras,272.890446,537321129,18.412762921753774,101804,1.638646784571882,Carnide,23.895845261188825,cascais,4.5244895179490285,889,11.805330701054189,Cascais
537299528,R1 - AM Lisboa,Lisboa,Oeiras,309.581598,537321129,18.307414034312824,101804,1.5335332568848428,Carnide,23.78837302373065,cascais,4.438091899134488,889,11.70375242070454,Cascais
537299532,R1 - AM Lisboa,Lisboa,Oeiras,474.691784,537321129,18.239171647478265,101804,1.5196762134443258,Carnide,23.750955626600238,cascais,4.333432545787104,889,11.622982122570017,Cascais
537299552,R1 - AM Lisboa,Lisboa,Oeiras,309.581598,537321129,17.913118671657923,101806,1.1994452534687865,Carnide,23.4738090985324,cascais,3.9826464191446633,889,11.282977423617629,Cascais
537299557,R1 - AM Lisboa,Lisboa,Oeiras,603.110817,537321129,17.798318438349096,101806,1.0449154400176914,Carnide,23.40678635681311,cascais,3.813107597573095,889,11.149584509665248,Cascais
537301496,R1 - AM Lisboa,Lisboa,Oeiras,29.598113,819525518,11.360395031989516,112,1.3079702607886814,Carnide,16.740355704549753,sao-joao-do-estoril,2.7411714196437167,889,5.338076750154351,Cascais
537301499,R1 - AM Lisboa,Lisboa,Oeiras,29.598113,910628861,11.315560192927938,112,1.3742232262790235,Carnide,16.72014454627841,sao-joao-do-estoril,2.6904070635192885,889,5.276704783884752,Cascais
537301615,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,9.587754408698366,12,1.4373807378798735,Carnide,14.807367313937608,sao-joao-do-estoril,3.84533509625228,747,3.614978892932493,Cascais
537301671,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,9.672782574628144,12,1.5191147216542928,Carnide,14.893047668705394,sao-joao-do-estoril,3.7925864932807167,747,3.702933712659708,Cascais
537301840,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,9.758205656862202,12,1.6001302286270471,Carnide,14.989055632553091,sao-joao-do-estoril,3.7214839869464695,747,3.798066480413942,Cascais
537301859,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,9.79171382757621,12,1.6359426091001907,Carnide,15.004714477610591,sao-joao-do-estoril,3.737103403811953,747,3.8203747288880407,Cascais
537301973,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,537321129,11.13727500196142,43,1.1438012247811442,Carnide,17.43962615050722,sao-joao-do-estoril,0.5451276963316489,889,4.3894516324961605,Cascais
537302020,R1 - AM Lisboa,Lisboa,Cascais,90.690085,910628861,11.116895917178011,44,1.2664608542477929,Carnide,16.823817792552713,sao-joao-do-estoril,2.004647965131237,889,4.81864432900954,Cascais
537302022,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,11.36486083261796,46,1.1823592529560587,Carnide,16.060424369488278,sao-joao-do-estoril,4.295483388215,747,5.184787673324231,Cascais
537302059,R1 - AM Lisboa,Setúbal,Barreiro,233.203075,537321129,11.237683760899337,50,1.1344929385967413,Carnide,17.081165080269606,sao-joao-do-estoril,1.6196883789138663,889,4.803020199668596,Cascais
537302090,R1 - AM Lisboa,Lisboa,Odivelas,88.905485,537321129,11.080032734478927,50,1.3233397666826008,Carnide,17.017554944041517,sao-joao-do-estoril,1.444184533020883,889,4.585939437892217,Cascais
537302161,R1 - AM Lisboa,Lisboa,Oeiras,165.633241,910628861,11.081576459566877,44,1.3506458654444211,Carnide,16.707977556701902,sao-joao-do-estoril,2.2147553024075686,889,4.865121552225792,Cascais
537302161,R1 - AM Lisboa,Lisboa,Cascais,272.070254,910628861,11.081576459566877,44,1.3506458654444211,Carnide,16.707977556701902,sao-joao-do-estoril,2.2147553024075686,889,4.865121552225792,Cascais
537302161,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,82.555093,910628861,11.081576459566877,44,1.3506458654444211,Carnide,16.707977556701902,sao-joao-do-estoril,2.2147553024075686,889,4.865121552225792,Cascais
537302161,R1 - AM Lisboa,Setúbal,Almada,27.548637,910628861,11.081576459566877,44,1.3506458654444211,Carnide,16.707977556701902,sao-joao-do-estoril,2.2147553024075686,889,4.865121552225792,Cascais
537302188,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,11.010934082523859,46,1.4515851390372068,Carnide,15.7736298553087,sao-joao-do-estoril,4.204948251809761,747,4.845346581885497,Cascais
537302226,R1 - AM Lisboa,Lisboa,Lisboa,816.210762,537321129,11.117577476098077,43,1.1626480920610307,Carnide,17.417841838613505,sao-joao-do-estoril,0.5665064439194588,889,4.37186945993089,Cascais
537302233,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,10.863890977206797,46,1.6069084816338255,Carnide,15.618755372032169,sao-joao-do-estoril,4.253001161928462,747,4.6912075837272385,Cascais
537302274,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,10.935553996863122,46,1.527228832070713,Carnide,15.698377300545314,sao-joao-do-estoril,4.220198447476076,747,4.767879027522098,Cascais
537302362,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,11.066459667542384,44,1.3029705210697524,Carnide,16.83449822810476,sao-joao-do-estoril,1.8721190950924635,889,4.719584687549859,Cascais
537302362,R1 - AM Lisboa,Lisboa,Oeiras,278.819283,537321129,11.066459667542384,44,1.3029705210697524,Carnide,16.83449822810476,sao-joao-do-estoril,1.8721190950924635,889,4.719584687549859,Cascais
537302404,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,11.205587502592408,44,1.1640614207001443,Carnide,16.994896259053387,sao-joao-do-estoril,1.7683110270065558,889,4.821122918283712,Cascais
537302404,R1 - AM Lisboa,Lisboa,Oeiras,1018.784326,537321129,11.205587502592408,44,1.1640614207001443,Carnide,16.994896259053387,sao-joao-do-estoril,1.7683110270065558,889,4.821122918283712,Cascais
537302447,R1 - AM Lisboa,Lisboa,Oeiras,272.070254,537321129,11.034746690408996,43,1.246522996037082,Carnide,17.34587275892436,sao-joao-do-estoril,0.6251930988184762,889,4.287475774782493,Cascais
537302501,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,910628861,10.99640884858265,44,1.4481283140859584,Carnide,16.60905657502995,sao-joao-do-estoril,2.2781783820528347,889,4.807647319896524,Cascais
537302524,R1 - AM Lisboa,Lisboa,Cascais,272.070254,819525518,11.110198973760516,46,1.3727864948539374,Carnide,15.85299596262224,sao-joao-do-estoril,4.229185631706417,747,4.940013091962022,Cascais
537302553,R1 - AM Lisboa,Lisboa,Oeiras,29.598113,910628861,10.997352365865108,44,1.4784766007110324,Carnide,16.574896803814536,sao-joao-do-estoril,2.3621322442521984,889,4.843176397138828,Cascais
537304548,R1 - AM Lisboa,Lisboa,Lisboa,128.419033,537321129,14.891222945450098,68,1.0748322524626364,Carnide,21.391761131113764,cascais,1.1286864471627187,889,8.022836231667313,Cascais
537304568,R1 - AM Lisboa,Lisboa,Oeiras,77.05142,537321129,15.103220081112974,101813,1.020680111754996,Carnide,21.615070386230077,cascais,1.29944560858752,889,8.233597016338239,Cascais
537304568,R1 - AM Lisboa,Lisboa,Lisboa,603.110817,537321129,15.103220081112974,101813,1.020680111754996,Carnide,21.615070386230077,cascais,1.29944560858752,889,8.233597016338239,Cascais
537304568,R1 - AM Lisboa,Lisboa,Cascais,4860.867661,537321129,15.103220081112974,101813,1.020680111754996,Carnide,21.615070386230077,cascais,1.29944560858752,889,8.233597016338239,Cascais
537304570,R1 - AM Lisboa,Lisboa,Oeiras,77.05142,537321129,14.790924005126413,68,1.082173435373171,Carnide,21.309871992017328,cascais,1.1396499653083405,889,7.921538896363871,Cascais
537304570,R1 - AM Lisboa,Lisboa,Cascais,5785.906525,537321129,14.790924005126413,68,1.082173435373171,Carnide,21.309871992017328,cascais,1.1396499653083405,889,7.921538896363871,Cascais
537304644,R1 - AM Lisboa,Lisboa,Lisboa,288.942825,537321129,14.79967152501122,68,1.008858448567724,Carnide,21.296373675187645,cascais,1.0650576006302346,889,7.93183958755273,Cascais
537304667,R1 - AM Lisboa,Lisboa,Lisboa,309.581598,537321129,14.849348719635213,68,1.0443319081320197,Carnide,21.348207557829326,cascais,1.0992563877384147,889,7.981203674566077,Cascais
537304687,R1 - AM Lisboa,Lisboa,Lisboa,309.581598,537321129,14.83893820794948,68,1.0487192668506922,Carnide,21.340826663810887,cascais,1.1041046141365778,889,7.970593606587394,Cascais
537305137,R1 - AM Lisboa,Lisboa,Cascais,1061.721777,537321129,14.613415080205085,68,1.0196453681794788,Carnide,20.56901735467253,cascais,0.9539822240402668,889,7.898041600170036,Cascais
537305138,R1 - AM Lisboa,Setúbal,Almada,26.528318,537321129,14.687618160974916,68,1.0811560452445128,Carnide,20.626709606825134,cascais,1.0156086695861768,889,7.977355196029973,Cascais
537305263,R1 - AM Lisboa,Lisboa,Cascais,541.072047,537321129,14.174354154612711,68,1.0062939542774532,Carnide,20.15104060640764,cascais,0.9471754339120776,889,7.46334491596289,Cascais
