stop_id,latitude,longitude,Conditions
298,38.7081267299578,-9.281487031636528,Good
297,38.7084007905094,-9.28166604469389,Good
18,38.7143479704522,-9.23486221722999,Good
733,38.7382258345448,-9.2692316250577,Good
149,38.7382258345448,-9.2692316250577,Good
148,38.7382969777886,-9.26924275826137,Good
587,38.680988441872294,-9.31920569878768,Average
927,38.6919004289457,-9.32415849912691,Good
515,38.6908369109995,-9.32354434079236,Good
920,38.6948372215041,-9.310963608707949,Good
517,38.693737237197496,-9.31045788148657,Good
13,38.7149002413122,-9.23168408791049,Good
23,38.714966423296794,-9.23137041799585,Good
646,38.714966423296794,-9.23137041799585,Good
642,38.7149002413122,-9.23168408791049,Good
918,38.6917139033131,-9.31405771723418,Good
917,38.6917139033131,-9.31405771723418,Average
501,38.6917139033131,-9.31405771723418,Good
787,38.726510891161205,-9.27633355094108,Good
770,38.7333897255632,-9.2807138307572,Good
218,38.72251931821229,-9.275268993987538,Good
217,38.722648551370604,-9.2753456771001,Good
216,38.720602519761,-9.276433261367949,Good
215,38.7201376061129,-9.27656440573859,Good
138,38.7365183645132,-9.28215630021355,Bad
137,38.736711897361204,-9.28232570323109,Good
450,38.7025692986099,-9.27173974275434,Good
449,38.7026900199904,-9.27159003343082,Good
561,38.6961943706362,-9.30244342133852,Good
875,38.7001194283877,-9.2977278976696,Good
874,38.7002055193151,-9.29783192529306,Good
549,38.6982263958784,-9.30031138369039,Good
548,38.6983105058861,-9.30020539095216,Good
404,38.7012914380555,-9.298265649738259,Good
403,38.7014531149796,-9.29866462621749,Good
399,38.6998844078791,-9.299441274469869,Good
398,38.699988246024,-9.29975045012707,Good
141,38.7435892310221,-9.28289348974967,Good
122,38.7436555622454,-9.28292664399318,Good
121,38.7447823063275,-9.28396449344365,Good
120,38.7448706630698,-9.284157537305159,Good
119,38.7464547917735,-9.28355103410133,Good
118,38.746280898308605,-9.28361955778165,Good
494,38.7009960147008,-9.239726653095948,Good
480,38.7014122010381,-9.23943856090085,Good
423,38.7042680807593,-9.274539199919971,Good
368,38.7158102133008,-9.243497674160581,Good
325,38.7110113813386,-9.26866906804855,Good
324,38.711029968243295,-9.26890699908785,Good
427,38.7020382382641,-9.28186531253357,Good
426,38.702073468848795,-9.28198347276839,Good
663,38.7059479951121,-9.230224697827259,Good
662,38.704275124433295,-9.23039042000701,Good
661,38.7019745068377,-9.23190735232261,Good
660,38.7038947024845,-9.23055577496306,Good
659,38.702215049162795,-9.23174090283662,Good
64,38.7059479951121,-9.230224697827259,Good
63,38.705784601659005,-9.23017575723701,Good
62,38.704275124433295,-9.23039042000701,Good
59,38.7019745068377,-9.23190735232261,Good
58,38.7038947024845,-9.23055577496306,Good
57,38.702215049162795,-9.23174090283662,Good
725,38.738579909588296,-9.3082384142355,Good
131,38.738579909588296,-9.3082384142355,Good
126,38.7444186986285,-9.2693494344078,Good
995,38.739038205677204,-9.30465077594421,Good
994,38.738980708929894,-9.30486019266369,Good
993,38.7360283370724,-9.29956383873294,Good
992,38.741578451387895,-9.305093805025699,Good
991,38.7415725213841,-9.30538872345939,Good
990,38.7446690502722,-9.3043615006247,Good
755,38.7358861725896,-9.29930425626165,Good
729,38.738980708929894,-9.30486019266369,Good
728,38.739038205677204,-9.30465077594421,Good
727,38.738980708929894,-9.30486019266369,Good
726,38.739038205677204,-9.30465077594421,Good
724,38.7360283370724,-9.29956383873294,Good
723,38.7358861725896,-9.29930425626165,Good
722,38.7360283370724,-9.29956383873294,Good
719,38.741578451387895,-9.305093805025699,Good
718,38.7415725213841,-9.30538872345939,Good
717,38.741578451387895,-9.305093805025699,Good
716,38.7415725213841,-9.30538872345939,Good
706,38.7449255417551,-9.30431243663424,Good
705,38.7446690502722,-9.3043615006247,Good
704,38.7449255417551,-9.30431243663424,Good
703,38.7446690502722,-9.3043615006247,Good
150,38.7449255417551,-9.30431243663424,Good
129,38.7358861725896,-9.29930425626165,Good
98,38.7439062609525,-9.30385042827748,Good
97,38.744001317259105,-9.30399184456201,Good
985,38.723025853124206,-9.22980202399776,Good
984,38.723025853124206,-9.22980202399776,Good
608,38.7229774443193,-9.229623591746769,Good
972,38.687217795159,-9.314997811241039,Average
577,38.687217795159,-9.314997811241039,Good
434,38.705920646761705,-9.28096224471952,Good
430,38.7034068174071,-9.28260544841225,Good
1004,38.7125065002355,-9.296724789830689,Good
868,38.700890380154,-9.29352248679879,Good
828,38.7162146751464,-9.301611329509901,Good
389,38.700890380154,-9.29352248679879,Good
388,38.706105654062,-9.295206786763341,Good
387,38.7042864545358,-9.29522332012055,Good
386,38.704224549087,-9.295044251244029,Good
385,38.701629975853294,-9.2940977043226,Good
290,38.709842072916004,-9.295407652192251,Good
288,38.7073857262079,-9.29549031094092,Good
287,38.7126488657799,-9.297004735026391,Good
286,38.7162146751464,-9.301611329509901,Good
988,38.7180024817251,-9.24148967484756,Average
560,38.695179833786796,-9.30255023345803,Good
559,38.6943413020222,-9.30413378547128,Good
520,38.6911951215309,-9.32707234025644,Good
519,38.6911379900951,-9.327215633565359,Good
265,38.69447284281971,-9.328477608130651,Good
264,38.6923099980877,-9.32847597485794,Good
613,38.718945871875896,-9.232810856674499,Good
612,38.7190349271321,-9.23295790150635,Good
737,38.740300166149,-9.268348522796732,Good
160,38.7397814518379,-9.268130755636381,Good
153,38.740300166149,-9.268348522796732,Good
961,38.697603993849796,-9.296357607753619,Good
562,38.6976786100013,-9.294959240609712,Good
558,38.697603993849796,-9.296357607753619,Good
975,38.6848812579713,-9.320590453740289,Good
974,38.68393153200579,-9.31929784332851,Good
973,38.68393153200579,-9.31929784332851,Good
971,38.683739467044795,-9.31786020401848,Good
970,38.683739467044795,-9.31786020401848,Good
582,38.6848812579713,-9.320590453740289,Good
581,38.68393153200579,-9.31929784332851,Good
576,38.683739467044795,-9.31786020401848,Good
350,38.7152934280825,-9.241789900046179,Good
798,38.7231317871435,-9.30248093988859,Good
763,38.729748894836796,-9.30127325294551,Good
762,38.729748894836796,-9.30127325294551,Good
756,38.7293740138099,-9.301271057186721,Good
754,38.7293740138099,-9.301271057186721,Good
208,38.7231317871435,-9.30248093988859,Good
1013,38.7457184427232,-9.28143923348257,Good
102,38.7441413226773,-9.28105995318814,Good
101,38.743911628300296,-9.28109630188789,Good
570,38.698275045012004,-9.2909245008212,Good
441,38.6985455066155,-9.29107438465775,Good
440,38.6987290420119,-9.291169762025481,Good
543,38.6974126998904,-9.309615824662242,Good
10,38.6973805406827,-9.3093473612943,Good
566,38.6947658934945,-9.30831236675843,Good
531,38.6946914441626,-9.307958280896939,Good
504,38.6939981558351,-9.31036319613567,Good
259,38.720000303402294,-9.29352460659471,Good
933,38.6933218795454,-9.30779863966048,Good
535,38.6933218795454,-9.30779863966048,Good
506,38.6926149819986,-9.31130473121277,Good
505,38.6926237772909,-9.311254303121189,Good
305,38.7082499610643,-9.27739829124259,Good
304,38.70951071861629,-9.28186912830116,Good
303,38.709447048745,-9.28225255033964,Good
279,38.708914452243796,-9.29308554409381,Good
274,38.7077817726098,-9.273808617278279,Good
273,38.7078605092097,-9.273816996160631,Good
510,38.6898348421701,-9.31159668360594,Good
942,38.683741100545895,-9.32130366672151,Good
941,38.683741100545895,-9.32130366672151,Good
940,38.6832536527326,-9.31978687204492,Average
939,38.683301466116,-9.319596696057461,Average
938,38.683301466116,-9.319596696057461,Average
586,38.683741100545895,-9.32130366672151,Good
585,38.683301466116,-9.319596696057461,Average
496,38.6888525219381,-9.311106820271052,Average
588,38.6891759031174,-9.30958571570134,Average
