,IDRoute,linkid,latitude,longitude,geometry
0,1,537277300,38.7161273,-9.133032,POINT (38.7161273 -9.133032)
1,1,537277673,38.7144021,-9.1363288,POINT (38.7144021 -9.136328799999999)
2,1,537277754,38.7142216,-9.1308123,POINT (38.7142216 -9.130812300000001)
4,1,537277795,38.7140846,-9.1306966,POINT (38.7140846 -9.1306966)
5,1,537277954,38.7134707,-9.1370738,POINT (38.7134707 -9.1370738)
6,1,537277980,38.7133497,-9.1379387,POINT (38.7133497 -9.137938699999999)
7,1,537278408,38.7122061,-9.1374316,POINT (38.7122061 -9.137431599999999)
8,1,537278623,38.7115206,-9.1371586,POINT (38.7115206 -9.137158599999999)
9,1,537278860,38.7108224,-9.1368847,POINT (38.7108224 -9.1368847)
10,1,537279035,38.7099402,-9.1358428,POINT (38.7099402 -9.135842800000001)
11,1,537282528,38.7160575,-9.1328414,POINT (38.7160575 -9.1328414)
12,1,537283957,38.7101336,-9.1323666,POINT (38.7101336 -9.132366599999999)
13,1,537284163,38.7158838,-9.1325825,POINT (38.7158838 -9.1325825)
14,1,537284189,38.7157294,-9.1360031,POINT (38.7157294 -9.1360031)
15,1,537284196,38.7146778,-9.1362434,POINT (38.7146778 -9.1362434)
16,1,537284197,38.7149507,-9.1362047,POINT (38.7149507 -9.1362047)
17,1,593892423,38.7121562,-9.1303075,POINT (38.7121562 -9.130307500000001)
18,1,721545568,38.7100096,-9.1332506,POINT (38.7100096 -9.1332506)
19,1,721545569,38.70985,-9.1334221,POINT (38.70985 -9.133422100000001)
20,1,743590957,38.71394220000001,-9.1364865,POINT (38.71394220000001 -9.1364865)
21,1,746670115,38.7146593,-9.1312524,POINT (38.7146593 -9.131252399999999)
22,1,746823975,38.7161182,-9.1358197,POINT (38.7161182 -9.135819700000001)
23,1,799427718,38.70978,-9.1336298,POINT (38.70978 -9.1336298)
24,1,799481022,38.7126954,-9.1306245,POINT (38.7126954 -9.1306245)
25,1,799481023,38.712778,-9.130609800000002,POINT (38.712778 -9.130609800000002)
26,1,799481035,38.7128481,-9.1306043,POINT (38.7128481 -9.1306043)
27,1,799481036,38.7129229,-9.1306095,POINT (38.7129229 -9.1306095)
28,1,799484937,38.7118284,-9.130502,POINT (38.7118284 -9.130502)
29,1,802182683,38.7144672,-9.1310435,POINT (38.7144672 -9.131043500000001)
30,1,802182863,38.7145265,-9.1311551,POINT (38.7145265 -9.131155100000001)
31,1,811304937,38.7100153,-9.135526400000002,POINT (38.7100153 -9.135526400000002)
32,1,811304938,38.71007460000001,-9.1352992,POINT (38.71007460000001 -9.1352992)
33,1,811398831,38.715077,-9.1315948,POINT (38.715077 -9.1315948)
34,1,811401336,38.7128548,-9.1376889,POINT (38.7128548 -9.137688900000001)
35,1,811401337,38.7132723,-9.1378582,POINT (38.7132723 -9.1378582)
36,1,811401512,38.7098526,-9.1365097,POINT (38.7098526 -9.1365097)
37,1,811463684,38.7103314,-9.131712599999998,POINT (38.7103314 -9.131712599999998)
38,1,811463685,38.7104162,-9.1314617,POINT (38.7104162 -9.131461699999999)
39,1,811463686,38.710032,-9.1331743,POINT (38.710032 -9.1331743)
40,1,811463687,38.7100744,-9.132813699999998,POINT (38.7100744 -9.132813699999998)
41,1,811469801,38.7113342,-9.1306469,POINT (38.7113342 -9.1306469)
42,1,811471524,38.7119511,-9.1304181,POINT (38.7119511 -9.1304181)
43,1,811471525,38.71202720000001,-9.1303311,POINT (38.71202720000001 -9.130331099999999)
44,1,811471526,38.7115367,-9.1306204,POINT (38.7115367 -9.1306204)
45,1,811477414,38.7123539,-9.1305325,POINT (38.7123539 -9.130532499999999)
46,1,811477415,38.71257429999999,-9.1306779,POINT (38.71257429999999 -9.1306779)
47,1,811480959,38.7137705,-9.1306204,POINT (38.7137705 -9.1306204)
48,1,811639528,38.7104865,-9.1312869,POINT (38.7104865 -9.131286899999999)
49,1,811639529,38.7105625,-9.1311633,POINT (38.7105625 -9.131163300000001)
50,1,811639530,38.710632,-9.1310561,POINT (38.710632 -9.1310561)
51,1,811639531,38.7107014,-9.1309548,POINT (38.7107014 -9.1309548)
52,1,811639532,38.71078920000001,-9.1308324,POINT (38.71078920000001 -9.130832399999999)
53,1,811954394,38.7163659,-9.1343,POINT (38.7163659 -9.1343)
54,1,811954396,38.716187100000006,-9.1336737,POINT (38.71618710000001 -9.133673699999999)
55,1,811957840,38.71672120000001,-9.1350618,POINT (38.71672120000001 -9.135061800000001)
56,1,811959963,38.713572,-9.136631,POINT (38.713572 -9.136631)
57,1,811959965,38.7137266,-9.1365378,POINT (38.7137266 -9.136537799999999)
58,1,812132634,38.7099778,-9.1341647,POINT (38.7099778 -9.134164699999999)
59,1,812133152,38.71348620000001,-9.1370118,POINT (38.71348620000001 -9.1370118)
60,1,812133153,38.7135255,-9.1368167,POINT (38.7135255 -9.136816700000001)
61,1,812144373,38.7101443,-9.1345299,POINT (38.7101443 -9.1345299)
62,1,812144374,38.7102083,-9.1346904,POINT (38.7102083 -9.1346904)
63,1,812144375,38.7102708,-9.134835699999998,POINT (38.7102708 -9.134835699999998)
64,1,812224197,38.710252,-9.1349709,POINT (38.710252 -9.134970900000001)
65,1,851526642,38.7157654,-9.1359854,POINT (38.7157654 -9.135985399999999)
66,1,851526643,38.7158512,-9.1359425,POINT (38.7158512 -9.135942500000001)
67,1,851527838,38.7166541,-9.1355932,POINT (38.7166541 -9.135593200000001)
68,1,851543355,38.7098444,-9.1338229,POINT (38.7098444 -9.1338229)
69,1,851551847,38.71091550000001,-9.1307157,POINT (38.71091550000001 -9.1307157)
70,1,851551848,38.7110303,-9.130636099999998,POINT (38.7110303 -9.130636099999998)
71,1,901324161,38.7102679,-9.131903,POINT (38.7102679 -9.131902999999999)
72,1,901324163,38.7131308,-9.1306238,POINT (38.7131308 -9.1306238)
73,1,901324165,38.7133308,-9.1305935,POINT (38.7133308 -9.1305935)
74,1,901324170,38.7100526,-9.134341699999998,POINT (38.7100526 -9.134341699999998)
75,1,901326578,38.71677800000001,-9.1351832,POINT (38.71677800000001 -9.1351832)
76,1,901326581,38.7155468,-9.1320891,POINT (38.7155468 -9.1320891)
77,1,901326583,38.7157222,-9.1323509,POINT (38.7157222 -9.1323509)
78,1,901326584,38.713926,-9.130641699999998,POINT (38.713926 -9.130641699999998)
79,1,901326585,38.7139687,-9.1306522,POINT (38.7139687 -9.1306522)
80,1,1101648083,38.7165661,-9.1347855,POINT (38.7165661 -9.1347855)
81,1,1160927171,38.7168503,-9.1354948,POINT (38.7168503 -9.1354948)
82,1,1160927529,38.7161218,-9.1332286,POINT (38.7161218 -9.133228600000001)
83,1,1160928185,38.7153355,-9.1318468,POINT (38.7153355 -9.1318468)
84,1,1202388190,38.7136742,-9.130615,POINT (38.7136742 -9.130615000000001)
85,1,1202388203,38.7162098,-9.1357765,POINT (38.7162098 -9.1357765)
86,1,1202388243,38.71510120000001,-9.1362047,POINT (38.71510120000001 -9.1362047)
87,1,1202388244,38.7151015,-9.1362047,POINT (38.7151015 -9.1362047)
88,1,1202673585,38.7098545,-9.1361908,POINT (38.7098545 -9.1361908)
89,1,1223142710,38.7161362,-9.133159,POINT (38.7161362 -9.133158999999999)
90,1,1246604405,38.7101783,-9.1366335,POINT (38.7101783 -9.1366335)
91,2,537277954,38.7134707,-9.1370738,POINT (38.7134707 -9.1370738)
92,2,537277980,38.7133497,-9.1379387,POINT (38.7133497 -9.137938699999999)
93,2,537278408,38.7122061,-9.1374316,POINT (38.7122061 -9.137431599999999)
94,2,537278623,38.7115206,-9.1371586,POINT (38.7115206 -9.137158599999999)
95,2,537278860,38.7108224,-9.1368847,POINT (38.7108224 -9.1368847)
96,2,537279154,38.7095992,-9.1364127,POINT (38.7095992 -9.136412699999999)
97,2,537279193,38.7094401,-9.1353996,POINT (38.7094401 -9.1353996)
98,2,537279247,38.7092205,-9.1362685,POINT (38.7092205 -9.1362685)
99,2,537280111,38.7043723,-9.1744624,POINT (38.7043723 -9.174462399999999)
100,2,537280113,38.7043508,-9.1743657,POINT (38.7043508 -9.174365699999999)
101,2,537280116,38.7043293,-9.1742798,POINT (38.7043293 -9.174279800000001)
102,2,537280141,38.7042374,-9.1739125,POINT (38.7042374 -9.1739125)
103,2,537280222,38.7037725,-9.1720032,POINT (38.7037725 -9.172003200000001)
104,2,537280237,38.7036426,-9.1715095,POINT (38.7036426 -9.171509500000001)
105,2,537280258,38.7035544,-9.1709206,POINT (38.7035544 -9.170920600000001)
106,2,537280259,38.7035275,-9.171240699999998,POINT (38.7035275 -9.171240699999998)
107,2,537280326,38.7031966,-9.1796792,POINT (38.7031966 -9.179679200000001)
108,2,537280855,38.6976346,-9.1928438,POINT (38.6976346 -9.1928438)
109,2,537280867,38.6974632,-9.196783300000002,POINT (38.6974632 -9.196783300000002)
110,2,537280873,38.6974095,-9.1994743,POINT (38.6974095 -9.1994743)
111,2,537280877,38.6974463,-9.2042274,POINT (38.6974463 -9.204227400000001)
