date (UTC),time (UTC),mean,number of points,filtered mean,filtered number of points
23-11-2018,00:00:00,67.5,3599,,0
23-11-2018,01:00:00,64.3,3600,,0
23-11-2018,02:00:00,63.4,3600,,0
23-11-2018,03:00:00,63.5,3600,,0
23-11-2018,04:00:00,65.2,3600,,0
23-11-2018,05:00:00,66.6,3600,,0
23-11-2018,06:00:00,68.7,3600,,0
23-11-2018,07:00:00,68.9,3600,,0
23-11-2018,08:00:00,69.0,3600,,0
23-11-2018,09:00:00,70.5,3600,,0
23-11-2018,10:00:00,70.7,3600,,0
23-11-2018,11:00:00,70.7,3600,,0
23-11-2018,12:00:00,71.2,3600,,0
23-11-2018,13:00:00,71.2,3600,,0
23-11-2018,14:00:00,69.6,3600,,0
23-11-2018,15:00:00,70.1,3600,,0
23-11-2018,16:00:00,70.1,3600,,0
23-11-2018,17:00:00,71.1,3600,,0
23-11-2018,18:00:00,69.9,3600,,0
23-11-2018,19:00:00,69.0,3600,,0
23-11-2018,20:00:00,68.4,3600,,0
23-11-2018,21:00:00,68.9,3600,,0
23-11-2018,22:00:00,71.1,3600,,0
23-11-2018,23:00:00,71.5,3600,,0
24-11-2018,00:00:00,71.3,3600,,0
24-11-2018,01:00:00,71.2,3600,,0
24-11-2018,02:00:00,66.4,3600,,0
24-11-2018,03:00:00,68.9,3600,,0
24-11-2018,04:00:00,65.9,3600,,0
24-11-2018,05:00:00,66.3,3600,,0
24-11-2018,06:00:00,68.1,3600,,0
24-11-2018,07:00:00,67.7,3600,,0
24-11-2018,08:00:00,69.4,3600,,0
24-11-2018,09:00:00,68.2,3600,,0
24-11-2018,10:00:00,68.5,3600,,0
24-11-2018,11:00:00,71.0,3600,,0
24-11-2018,12:00:00,68.0,3600,,0
24-11-2018,13:00:00,67.4,3600,,0
24-11-2018,14:00:00,67.6,3600,,0
24-11-2018,15:00:00,67.7,3600,,0
24-11-2018,16:00:00,67.9,3600,,0
24-11-2018,17:00:00,67.4,3600,,0
24-11-2018,18:00:00,67.4,3600,,0
24-11-2018,19:00:00,68.0,3600,,0
24-11-2018,20:00:00,67.3,3600,,0
24-11-2018,21:00:00,73.2,3600,,0
24-11-2018,22:00:00,76.3,3600,,0
24-11-2018,23:00:00,76.9,3600,,0
25-11-2018,00:00:00,76.8,3600,,0
25-11-2018,01:00:00,73.9,3600,,0
